,Unnamed: 0,months_as_customer,age,policy_number,policy_deductable,umbrella_limit,insured_zip,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,_id,policy_bind_date,policy_state,policy_csl,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,property_damage,police_report_available,auto_make,auto_model,fraud_reported
0,0,134,29,687698,2000,5000000,430632,35100,0,7,3,2,3,34650,7700,3850,23100,2,945,2,0,0,6,11,2,3,45,0,1,1,4,1,1,685,0,0,4,30,0
1,1,328,48,521585,1000,0,466132,53300,0,5,1,1,2,71610,6510,13020,52080,0,99,2,1,1,4,2,17,0,17,2,2,0,4,4,1,996,1,1,10,1,1
2,2,165,37,429027,1000,0,603195,0,0,23,3,2,2,51590,9380,9380,32830,7,388,0,0,1,0,12,0,4,50,0,0,2,4,5,1,276,0,1,1,5,0
3,3,228,44,367455,1000,6000000,610706,66000,-46000,20,1,0,1,6500,1300,650,4550,4,705,0,2,1,0,11,2,4,39,3,1,1,2,1,0,220,0,0,0,31,0
4,4,212,42,636550,500,0,600983,0,-39300,14,1,2,1,42300,4700,4700,32900,9,759,0,0,1,6,8,4,5,26,2,1,2,3,0,2,224,0,0,10,1,0
5,5,217,41,431876,2000,0,442479,46700,0,15,3,1,2,37840,0,4730,33110,21,207,0,2,0,0,6,16,3,32,0,2,2,4,4,0,889,0,0,0,31,0
6,6,257,43,863236,2000,0,436984,0,-29200,4,1,1,3,9020,1640,820,6560,26,914,1,0,1,2,9,9,3,20,1,1,1,4,3,0,165,1,1,12,9,0
7,7,224,40,914088,2000,0,609837,0,-55600,21,1,1,0,69840,7760,15520,46560,28,406,2,0,0,3,11,11,1,29,2,2,1,3,4,3,244,0,1,4,27,0
8,8,195,39,282195,1000,0,478423,47600,-39600,5,1,0,1,2640,480,480,1680,54,812,2,1,1,6,6,12,1,50,1,1,1,4,5,3,536,0,1,5,14,0
9,9,107,31,356590,500,7000000,476458,43400,-91200,12,1,0,1,89700,13800,13800,62100,66,811,1,1,0,2,12,13,1,23,2,2,1,1,4,6,918,1,0,1,5,1
10,10,153,34,798177,1000,4000000,432934,800,0,9,3,2,1,68400,11400,11400,45600,86,474,0,2,0,0,8,19,0,23,0,0,1,3,4,1,948,0,0,5,14,0
11,11,325,47,900628,1000,0,438830,61500,0,11,1,0,3,72930,6630,6630,59670,96,402,1,2,0,0,10,10,1,5,2,2,0,1,5,6,619,1,0,4,30,1
12,12,29,25,235220,2000,0,464959,0,-71700,4,4,1,2,64890,7210,7210,50470,97,156,0,1,1,5,4,16,3,14,0,1,1,3,4,2,75,1,1,9,29,1
13,13,107,31,154982,2000,0,470603,62000,-63100,16,1,0,3,51260,9320,9320,32620,116,340,0,2,0,6,6,3,2,49,2,1,1,4,4,2,804,0,0,11,21,0
